"Distance [mm]","Bx [T]"
0.0, 0.00011707882232295241
6.857082424912939, -0.00007460291366256921
13.496957469656031, 0.00004156783541955922
20.13683251439913, 0.00009965320996060956
26.776707559142224, 0.00021582395904276575
33.41658260388532, 0.00039008008266597227
40.05645764862841, 0.0005352935190186536
46.6963326933715, 0.0005352935190186536
53.336207738114595, 0.0006079002371950082
59.9760827828577, 0.00046268680084232683
66.6159578276008, 0.00027390933358384384
73.25583287234389, -0.0003069444118268816
79.89570791708698, -0.0010475329372255093
86.53558296183007, -0.0019236540032200045
93.17545800657317, -0.0026690829764970947
99.81533305131626, -0.0032499367219077924
106.45520809605935, -0.0031821704516098726
113.09508314080244, -0.003007914327986666
119.73495818554554, -0.002514188644387544
126.37483323028863, -0.0017009934008125616
133.26621869339323, -0.0004795870528239432
139.53960712852387, 0.0026425940277658433
145.73107502738821, 0.00412645406967288
148.70895838078815, -0.0021540593222329207
151.89954768800234, 0.01225609231034186
153.3367500786394, 0.023090167149841634
152.93433340926103, 0.0033079020637791223
156.10336468061567, 0.03284818737621632
157.09934593732712, 0.0448474640489107
159.725114705021, 0.05040703306639112
163.34686472942633, 0.041145743635006726
165.30864599264586, 0.03173004391630069
167.92435434360527, 0.02148926968818471
170.69096894558157, 0.0026707377747160754
171.19398978230453, 0.011577853363567675
174.66483355569295, 0.01856420349936236
176.6567960691159, 0.02780979744921877
174.66483355569295, 0.0050223887023163605
176.21701213758095, 0.03807734626902799
178.2865835800983, 0.007098940842159646
182.81377111060493, 0.02155493843106862
184.02102111874004, 0.004436694509027256
184.22222945342924, -0.015497191844388941
182.81377111060493, 0.03367880823215362
185.53008362890893, -0.03419498454796829
188.5482086492467, -0.05025649415884495
190.91627597289633, -0.07027448019129756
191.98887117243174, -0.06179679956370737
195.64080244704047, -0.05477521360161505
198.20620871432757, -0.042969545624156835
199.75838729621555, -0.029897590139129765
205.55031293048282, -0.04978438914243616
204.2424587550031, -0.023636059205679488
206.22579805408222, -0.07028571428571431
205.751521265172, -0.032139020446434546
208.80318100795796, -0.08647352424326507
207.56239627737466, -0.09912468784982345
213.09562548132726, -0.08186065424763436
214.14190882171098, -0.05854140474755304
216.31495883635418, -0.03123740635494704
216.7461195535453, -0.0073704947520499
217.67311509550618, 0.009411101782485137
223.25664638313108, -0.0062239539979142
224.6902557677915, -0.018591736272568132
223.07555888191078, 0.007175613536553854
225.79187140021477, -0.027904273945865282
230.43978393153495, -0.01098181922558053
231.57804822491946, 0.0016907775768535138
229.89652142787415, -0.02660509773529665
232.51222977883353, 0.015831108814833933
231.10377143600928, -0.020758804787737895
234.4237089583808, 0.030708924544970373
236.83820897465105, 0.0433693848847556
238.04545898278613, 0.05603102844513333
239.37343399173474, 0.06699887482419127
239.51140542123593, 0.07588414188259189
245.53040903322378, 0.06279597386071166
246.5968132070765, 0.046446941645856665
248.20647988458992, 0.0322305462269296
251.02339657023853, 0.02176157945597365
253.84031325588714, 0.05277142474429998
254.7744948098012, 0.07736905957882449
254.0415215905763, 0.03220037410182075
256.0536049374682, 0.09638966866634135
256.1542091048127, 0.10634748414133585
260.98320913735324, 0.08273488045007032
262.9449904005727, 0.0553388443985189
264.1019383250356, 0.025861438808997578
262.19045914548826, 0.10102299147507104
265.03611987894965, 0.004041015883950533
265.9631154209105, -0.011320000574069289
271.4862842081286, 0.010804787737879962
272.45208421463667, 0.024219604988140242
271.5466467085354, -0.0027247481270989415
270.6412092024341, -0.01111082407646602
275.77202173700823, 0.03077962197537243
278.1865217532785, 0.00882306227695015
279.59498009610274, -0.004741716658534012
279.0919592593798, 0.021475071041074656
280.8022301042379, -0.019306993120736304
282.95515928541215, -0.03271609403254974
285.02760513271073, -0.045720026407187364
285.79890374901925, -0.05822565388086781
287.02531645569627, -0.06959494285960316
287.6433134836701, -0.07636780619420766
292.73388435130653, -0.057945061568931366
295.7922510385821, -0.04172412143479051
296.09406354061593, -0.027380107223386324
294.1825843610686, -0.07276844915181263
300.92306357315636, -0.036469607814996585
300.2188344017442, -0.020080312293693864
301.72789691191304, -0.05887152329286144
304.013048713026, -0.08093774218548178
303.71985942533604, -0.10039901642794949
303.8405844261496, -0.10820294784580495
310.07804280151424, -0.07702804328482449
311.6877094790277, -0.04764110336117569
311.98952198106156, -0.01867160366256207
310.4804594708926, -0.09864548350985966
313.25713448960335, 0.0010162404202187225
315.309459503433, 0.011691315766813065
319.534834531906, -0.016168331467608127
320.62135953922746, -0.029430628510194512
318.9312095278384, 0.009974166881942664
320.8628095408545, -0.00196486695944198
324.0189059906935, -0.03233273056057867
325.8125345742085, -0.019435288039266335
326.5771262460273, -0.007050518097534375
327.88498042150707, 0.006279983160634162
329.0922304296422, 0.019473061798559094
331.7079387806016, 0.03157740845986777
333.31760545811505, 0.04362496053273629
334.45299534671835, 0.05562484571887828
335.4302929723516, 0.06722514040778053
335.5308971396961, 0.0760564453629553
341.8689596824054, 0.05461045380177386
343.6798346946081, 0.03288774075030855
345.40447756337255, 0.01245690174804101
342.47258468647294, 0.07046040357071098
343.9816471966419, -0.005310930279284698
348.10641805777016, -0.010471884956514244
351.2251472454525, 0.017641436321364
352.30304903843034, 0.037585464565573073
350.6215222413849, -0.0013137575705387539
352.0299805842093, 0.05414970770305309
356.557168114716, 0.056738425327937075
358.4686472942632, 0.03929437316417425
359.4746889677091, 0.01923878412124344
359.87710563708754, 0.0017354018963421924
362.56467410757875, -0.01117928183931799
362.79462649008065, -0.01845862395591147
369.1614330806026, -0.008995805193686784
367.8248348573103, -0.01596676138809952
375.6216578265162, 0.002294029918577828
375.06833490612087, -0.007376782724341502
378.5391786795093, 0.009225410100749148
383.7001724642869, -0.0006501736559602622
382.6136474569653, 0.008369212663968534
385.1574956883928, -0.007733574442435193
391.58179037454045, 0.0024417121479895776
390.56137667718815, -0.008136996320641049
396.8591975529596, 0.010751542811217346
403.43871009729594, 0.005704891853173938
406.15502261559993, 0.00034444157409799225
412.4930851583092, 0.0017523204141648985
419.13296020305233, 0.00027805828890817286
425.77283524779546, -0.0006399672258623479
432.4127102925386, -0.0015170563814325133
439.0525853372816, -0.0026061571540776096
445.6924603820247, -0.0027174874552813033
452.3323354267678, -0.002637136020499503
458.97221047151095, -0.0023039749079531713
465.61208551625396, -0.0015886950100331698
472.2519605609971, -0.00138442810956374
478.8918356057402, -0.0009023195008728557
485.5317106504833, -0.00042311516090901
492.1715856952263, -0.0001326882882036473
498.81146073996945, 0.00009965320996060956
505.45133578471257, 0.00015773858450168765
512.0912108294557, 0.00009965320996060956
518.7310858741987, 0.00009965320996060956
525.3709609189418, -0.000016517539121518876
529.5963359474147, -0.0003147813274395339
